hallucination, cumulative_confidences, P_T_given_I_Q_Full, entropy_sum, cumulative_confidences2, P_T_given_I_Q_Full2, entropy_sum2 
False, [1.4857893226033202e-07], 1.4857893226033202e-07, 2.3344079690447094e-06,[1.659682293737002e-07], 1.659682293737002e-07, 2.5894467966251777e-06
False, [3.857855812500728e-07], 3.857855812500728e-07, 5.6957985356704385e-06,None, None, None
False, [5.019925435251735e-07], 5.019925435251735e-07, 7.279791024749416e-06,None, None, None
False, [3.823351857252214e-07], 3.823351857252214e-07, 5.648277170443027e-06,None, None, None
False, [3.04564407463456e-07], 3.04564407463456e-07, 4.568300656601035e-06,None, None, None
False, [7.186893196037792e-07], 7.186893196037792e-07, 1.0165047150291348e-05,None, None, None
False, [3.02145862099476e-07], 3.02145862099476e-07, 4.534419994786452e-06,None, None, None
False, [3.4791464819388915e-07], 3.4791464819388915e-07, 5.172458986652807e-06,None, None, None
False, [1.7555464629279034e-08], 1.7555464629279034e-08, 3.117179515889792e-07,[8.130113098220842e-07], 8.130113098220842e-07, 1.139906576376562e-05
False, [2.3343967646976812e-07], 2.3343967646976812e-07, 3.563176694086331e-06,None, None, None
False, [2.7807425687140164e-08], 2.7807425687140164e-08, 4.820527597502722e-07,[3.0639732350462297e-07], 3.0639732350462297e-07, 4.5939646109686065e-06
False, [3.237402221773461e-07], 3.237402221773461e-07, 4.836260837349795e-06,None, None, None
False, [6.305022690528654e-07], 6.305022690528654e-07, 9.000095016453236e-06,None, None, None
False, [3.0006002126608817e-07], 3.0006002126608817e-07, 4.505184541493372e-06,None, None, None
False, [2.2459880532349207e-07], 2.2459880532349207e-07, 3.4368410113018517e-06,None, None, None
False, [7.991964263626659e-07], 7.991964263626659e-07, 1.1219041399089332e-05,None, None, None
